CONCURSO,F1,F2,F3,F4,F5,F6,F7,FECHA
1228,5,9,16,17,32,33,15,2022-06-25
1227,6,7,9,12,31,39,38,2022-06-21
1226,23,26,34,35,37,39,13,2022-06-18
1225,3,11,14,26,29,37,30,2022-06-14
1224,3,6,9,14,21,26,4,2022-06-11
1223,9,22,23,26,27,30,20,2022-06-07
1222,4,8,17,19,22,38,35,2022-06-04
1221,16,18,25,28,29,31,26,2022-05-31
1220,7,10,17,18,29,32,21,2022-05-28
1219,4,12,17,18,25,26,27,2022-05-24
1218,3,10,17,25,31,36,37,2022-05-21
1217,2,11,13,20,23,29,26,2022-05-17
1216,18,26,27,28,29,31,17,2022-05-14
1215,17,18,19,30,31,38,10,2022-05-10
1214,6,8,9,13,27,37,19,2022-05-07
1213,9,21,23,25,33,36,39,2022-05-03
1212,5,9,15,20,30,37,18,2022-04-30
1211,8,11,13,17,30,32,16,2022-04-26
1210,4,14,21,23,27,32,26,2022-04-23
1209,6,8,22,26,34,38,24,2022-04-19
1208,4,6,21,24,28,31,20,2022-04-16
1207,5,6,19,20,35,38,7,2022-04-12
1206,8,14,18,27,30,33,37,2022-04-09
1205,10,11,18,22,23,28,14,2022-04-05
1204,2,5,15,24,32,37,19,2022-04-02
1203,6,11,26,27,33,36,2,2022-03-29
1202,1,5,8,10,12,31,3,2022-03-26
1201,4,9,10,23,25,32,12,2022-03-22
1200,1,4,7,15,22,32,13,2022-03-19
1199,6,10,24,28,33,36,32,2022-03-15
1198,10,15,17,26,35,37,27,2022-03-12
1197,1,12,13,20,33,35,28,2022-03-08
1196,2,3,7,10,18,24,26,2022-03-05
1195,13,15,18,21,25,35,32,2022-03-01
1194,2,10,14,16,21,27,37,2022-02-26
1193,3,4,7,22,24,39,26,2022-02-22
1192,2,12,16,17,18,30,19,2022-02-19
1191,6,12,18,22,27,35,29,2022-02-15
1190,9,10,11,28,31,39,34,2022-02-12
1189,6,18,26,27,29,37,7,2022-02-08
1188,2,3,10,12,15,39,22,2022-02-05
1187,9,16,26,28,33,35,20,2022-02-01
1186,2,3,12,19,22,36,7,2022-01-29
1185,1,4,8,24,31,38,2,2022-01-25
1184,2,3,6,12,16,23,30,2022-01-22
1183,1,4,16,19,27,37,8,2022-01-18
1182,2,14,22,24,32,33,17,2022-01-15
1181,1,5,19,26,31,34,39,2022-01-11
1180,3,10,13,19,29,31,30,2022-01-08
1179,2,3,11,30,32,34,19,2022-01-04
1178,3,11,12,14,28,32,9,2022-01-01
1177,11,16,23,24,26,37,29,2021-12-28
1176,5,6,22,34,35,38,11,2021-12-25
1175,12,14,15,30,33,37,13,2021-12-21
1174,2,5,17,18,19,38,31,2021-12-18
1173,2,5,8,21,26,37,28,2021-12-14
1172,4,7,13,18,25,36,26,2021-12-11
1171,6,9,13,24,26,35,1,2021-12-07
1170,8,11,13,16,25,31,33,2021-12-04
1169,6,17,23,32,37,39,5,2021-11-30
1168,13,18,25,29,32,38,10,2021-11-27
1167,1,5,7,10,28,29,18,2021-11-23
1166,3,13,15,17,18,21,6,2021-11-20
1165,6,9,18,21,29,31,5,2021-11-16
1164,1,7,15,30,31,34,14,2021-11-13
1163,9,18,22,23,36,37,38,2021-11-09
1162,2,12,17,28,34,39,26,2021-11-06
1161,2,9,23,32,33,35,4,2021-11-02
1160,4,15,17,19,22,37,23,2021-10-30
1159,13,21,23,29,30,35,19,2021-10-26
1158,1,3,25,27,37,39,12,2021-10-23
1157,15,23,26,31,35,37,25,2021-10-19
1156,3,5,14,20,22,39,1,2021-10-16
1155,13,17,21,22,28,33,26,2021-10-12
1154,12,13,16,26,30,33,25,2021-10-09
1153,1,5,13,21,30,35,27,2021-10-05
1152,6,10,12,13,20,35,9,2021-10-02
1151,3,4,12,19,23,37,18,2021-09-28
1150,7,14,21,24,34,36,25,2021-09-25
1149,13,17,25,28,38,39,23,2021-09-21
1148,1,8,21,22,34,37,31,2021-09-18
1147,11,18,25,27,31,39,36,2021-09-14
1146,1,4,7,10,28,29,16,2021-09-11
1145,10,11,26,35,38,39,5,2021-09-07
1144,2,4,14,26,30,37,23,2021-09-04
1143,2,7,21,31,37,39,4,2021-08-31
1142,1,6,10,24,28,31,36,2021-08-28
1141,1,3,9,21,24,33,30,2021-08-24
1140,1,3,14,18,31,34,5,2021-08-21
1139,10,28,29,30,31,39,1,2021-08-17
1138,4,11,14,21,27,30,24,2021-08-14
1137,1,3,21,23,35,37,10,2021-08-10
1136,14,17,25,32,37,39,15,2021-08-07
1135,1,3,9,22,24,27,29,2021-08-03
1134,5,6,8,26,29,39,15,2021-07-31
1133,2,4,15,22,31,38,24,2021-07-27
1132,3,27,31,32,34,38,20,2021-07-24
1131,2,3,4,6,16,37,12,2021-07-20
1130,2,18,26,28,32,37,24,2021-07-17
1129,2,9,20,21,27,37,17,2021-07-13
1128,4,12,20,35,36,38,8,2021-07-10
1127,4,7,17,23,29,37,36,2021-07-06
1126,1,3,24,29,33,38,36,2021-07-03
1125,8,14,17,29,31,34,37,2021-06-29
1124,2,7,20,24,32,33,3,2021-06-26
1123,12,17,31,36,37,39,25,2021-06-22
1122,9,17,20,30,31,38,26,2021-06-19
1121,3,20,25,28,34,38,35,2021-06-15
1120,3,11,15,24,29,38,28,2021-06-12
1119,3,10,14,19,29,36,35,2021-06-08
1118,10,12,13,14,30,39,23,2021-06-05
1117,6,14,15,19,25,31,11,2021-06-01
1116,1,11,18,23,31,39,17,2021-05-29
1115,7,10,17,20,29,31,8,2021-05-25
1114,3,10,17,25,29,37,6,2021-05-22
1113,9,20,28,34,38,39,1,2021-05-18
1112,11,18,26,35,36,39,23,2021-05-15
1111,12,18,21,33,35,37,39,2021-05-11
1110,6,11,25,27,31,38,13,2021-05-08
1109,6,15,26,32,35,39,11,2021-05-04
1108,23,28,29,30,32,38,33,2021-05-01
1107,5,7,8,12,27,31,14,2021-04-27
1106,14,17,25,29,36,38,33,2021-04-24
1105,1,8,10,17,22,28,16,2021-04-20
1104,11,27,29,34,35,37,3,2021-04-17
1103,13,22,25,28,35,36,33,2021-04-13
1102,6,7,10,12,17,18,3,2021-04-10
1101,3,6,9,28,29,30,15,2021-04-06
1100,3,25,28,30,33,36,24,2021-04-03
1099,5,7,9,13,19,31,17,2021-03-30
1098,8,11,18,23,24,30,20,2021-03-27
1097,1,9,10,13,24,34,39,2021-03-23
1096,3,6,7,22,30,35,14,2021-03-20
1095,6,8,9,12,33,38,30,2021-03-16
1094,9,10,22,25,31,36,35,2021-03-13
1093,7,8,12,31,32,39,13,2021-03-09
1092,5,12,16,27,34,39,36,2021-03-06
1091,4,8,15,23,27,30,36,2021-03-02
1090,18,20,32,33,34,37,7,2021-02-27
1089,8,11,15,27,29,38,28,2021-02-23
1088,5,7,16,25,27,31,10,2021-02-20
